player_name,Team,PA,AB,H,1B,2B,3B,HR,R,RBI,AVG,OBP,SLG,OPS,wOBA,wRC+,ISO,BABIP,EV,LA,Barrel%,HardHit%,maxEV,GB%,FB%,LD%,IFFB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,HR/FB,xBA,xSLG,xwOBA,BB%,K%,BB/K,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,Spd,wSB,UBR,wRC,BsR,WAR,Off,Def,RAR,year
Aaron Judge,NYY,696,570,177,87,28,0,62,133,131,0.311,0.425,0.686,1.111,0.458,206,0.375,0.34,95.8,14.9,0.262,0.611,118.4,0.373,0.435,0.193,0.046,0.475,0.318,0.20800000000000002,0.075,0.445,0.48,0.35600000000000004,0.305,0.706,0.463,0.159,0.251,0.63,0.268,0.6759999999999999,0.425,0.517,0.852,0.722,0.385,0.579,0.11800000000000001,0.16899999999999998,4.0,1.2,0.4,162,1.0,11.1,84.2,-0.6,105.6,2022
Nolan Arenado,STL,620,557,163,90,42,1,30,73,103,0.293,0.358,0.533,0.891,0.381,149,0.241,0.29,88.8,21.7,0.08199999999999999,0.389,111.4,0.297,0.499,0.204,0.168,0.479,0.325,0.196,0.2,0.48100000000000004,0.319,0.12300000000000001,0.266,0.445,0.339,0.084,0.11599999999999999,0.72,0.361,0.68,0.484,0.721,0.9079999999999999,0.823,0.386,0.613,0.086,0.155,2.6,-0.8,-0.4,106,0.1,7.2,35.5,11.8,68.7,2022
Manny Machado,SDP,644,578,172,102,37,1,32,100,102,0.298,0.366,0.531,0.898,0.382,152,0.234,0.337,91.5,16.0,0.098,0.49,112.4,0.37799999999999995,0.41600000000000004,0.20600000000000002,0.151,0.41200000000000003,0.33799999999999997,0.251,0.163,0.456,0.38,0.172,0.264,0.447,0.338,0.098,0.207,0.47,0.342,0.77,0.508,0.643,0.856,0.768,0.38799999999999996,0.629,0.11800000000000001,0.126,4.3,0.8,0.9,110,-0.4,7.1,38.5,7.3,67.9,2022
Jose Altuve,HOU,604,527,158,91,39,0,28,103,57,0.3,0.387,0.533,0.921,0.397,164,0.233,0.315,85.9,16.1,0.077,0.297,109.8,0.41,0.387,0.204,0.12,0.519,0.317,0.163,0.177,0.522,0.302,0.168,0.269,0.44,0.354,0.109,0.14400000000000002,0.76,0.314,0.65,0.43799999999999994,0.768,0.91,0.846,0.369,0.619,0.068,0.17300000000000001,5.0,2.5,-2.4,111,0.4,6.9,44.1,2.1,65.3,2022
Paul Goldschmidt,STL,651,561,178,102,41,0,35,106,115,0.317,0.404,0.578,0.981,0.419,175,0.26,0.368,90.7,15.7,0.115,0.47200000000000003,112.3,0.40299999999999997,0.408,0.18899999999999997,0.10400000000000001,0.377,0.363,0.259,0.151,0.512,0.337,0.20199999999999999,0.261,0.482,0.367,0.121,0.217,0.56,0.276,0.617,0.41700000000000004,0.677,0.818,0.763,0.41200000000000003,0.599,0.099,0.196,3.6,0.6,0.6,131,0.9,6.8,58.0,-15.3,65.1,2022
Freddie Freeman,LAD,708,612,199,129,47,2,21,117,100,0.325,0.407,0.511,0.918,0.393,157,0.186,0.359,91.3,13.6,0.099,0.478,112.3,0.387,0.33799999999999997,0.275,0.034,0.364,0.337,0.3,0.122,0.509,0.369,0.12,0.31,0.535,0.4,0.11900000000000001,0.14400000000000002,0.82,0.313,0.7609999999999999,0.493,0.75,0.88,0.831,0.401,0.595,0.083,0.122,4.8,0.6,2.0,128,1.7,6.8,48.9,-8.5,64.7,2022
J.T. Realmuto,PHI,562,504,139,86,26,5,22,75,84,0.276,0.342,0.478,0.82,0.354,129,0.202,0.318,90.3,13.1,0.113,0.47200000000000003,110.4,0.444,0.359,0.19699999999999998,0.086,0.392,0.336,0.272,0.154,0.503,0.344,0.157,0.275,0.463,0.351,0.073,0.212,0.34,0.35,0.6920000000000001,0.49,0.6659999999999999,0.8390000000000001,0.767,0.41,0.5770000000000001,0.114,0.155,6.9,3.2,3.1,84,3.5,6.7,22.2,21.8,63.4,2022
Dansby Swanson,ATL,696,640,177,119,32,1,25,99,96,0.277,0.329,0.447,0.776,0.337,117,0.17,0.348,90.2,15.7,0.10800000000000001,0.46299999999999997,109.6,0.387,0.4,0.212,0.065,0.39799999999999996,0.35100000000000003,0.251,0.134,0.526,0.34,0.135,0.257,0.461,0.337,0.07,0.261,0.27,0.314,0.746,0.495,0.5710000000000001,0.804,0.718,0.419,0.675,0.139,0.149,4.8,0.1,3.2,95,3.7,6.6,17.3,22.0,63.2,2022
Yordan Alvarez,HOU,561,470,144,76,29,2,37,95,97,0.306,0.406,0.613,1.019,0.427,185,0.306,0.32,95.2,12.2,0.21,0.598,117.4,0.391,0.39399999999999996,0.21600000000000003,0.021,0.39399999999999996,0.396,0.21,0.092,0.466,0.442,0.253,0.326,0.669,0.46,0.139,0.18899999999999997,0.74,0.275,0.6679999999999999,0.426,0.625,0.8959999999999999,0.7879999999999999,0.385,0.5379999999999999,0.09,0.165,3.0,-0.8,0.7,116,-2.0,6.4,51.9,-9.1,60.6,2022
Trea Turner,LAD,708,652,194,130,39,4,21,101,100,0.298,0.343,0.466,0.809,0.35,128,0.169,0.342,88.9,10.2,0.076,0.414,112.5,0.429,0.35700000000000004,0.214,0.064,0.45399999999999996,0.32799999999999996,0.218,0.163,0.522,0.315,0.11199999999999999,0.276,0.432,0.335,0.064,0.185,0.34,0.364,0.745,0.511,0.607,0.8590000000000001,0.7490000000000001,0.38799999999999996,0.634,0.128,0.142,6.4,3.5,1.7,103,6.6,6.4,29.6,6.8,60.8,2022
